"Название характеристики";"Тип";"Возможные значения";"Сорт. индекс";"Единица измерения";"Группа"
"Капюшон";"list";"Съемный
несъемный
нет";6;;"Спецификации"
"Съемный мех";"bool";;7;;"Спецификации"
"Ткань верха";"string";;8;;"Спецификации"
"Утеплитель";"string";;9;;"Спецификации"
"Подкладка";"string";;10;;"Спецификации"
"Количество внутренних карманов";"int";;11;;"Спецификации"
"Количество наружных карманов";"int";;12;;"Спецификации"
"Паропроницаемость";"string";;13;"г/м";"Спецификации"
"Длина";"string";;14;;"Спецификации"
"Регулировка объема рукава (пата)";"bool";;15;;"Спецификации"
"Сезон";"list";"зима
демисезон
лето";16;;"Спецификации"
"Анатомич. рукав";"bool";;17;;"Спецификации"
"Внутренние манжеты";"bool";;18;;"Спецификации"
"Градусник";"bool";;19;;"Спецификации"
"BIG POCKET";"bool";;20;;"Спецификации"
"Карман для документов";"bool";;21;;"Спецификации"
"Карман для ключей";"bool";;22;;"Спецификации"
"Карман для ручки";"bool";;23;;"Спецификации"
"Карман для телефона";"bool";;24;;"Спецификации"
"Стопор для наушников";"bool";;25;;"Спецификации"
"Петля для наушников";"bool";;26;;"Спецификации"
"Светоотраж. канты";"bool";;27;;"Спецификации"
"Силуэт";"string";;28;;"Спецификации"
"Пояс";"string";;29;;"Спецификации"
